,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,latitude,longitude,postal_code,city_name,smileys,cvr_number,checked_findsmiley
1215,Folk's Kitchen,"Korsgade 17B, København N","(12.557403, 55.685269)",4.3,3,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJyyi5jgdTUkYRx4zP9-8nMTc,OPERATIONAL,"Korsgade 17B, 2200 København, Denmark",,,,,55.685269,12.557403,2200,København N,,0,1
1216,Plads'n,"Blågårdsgade 27, København N","(12.5581519, 55.6861622)",4.3,228,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJwx2hggdTUkYRyWAMtQfr-wc,OPERATIONAL,"Blågårdsgade 27, 2200 København, Denmark",28 69 96 56,2.0,https://pladsn.bestilonline.dk/restaurant/pladsn-vegan-pizzeria,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2300'); ('1200', '2300')",55.6861622,12.5581519,2200,København N,['Elite'],31684234,1
1217,Fresh & Fruity,"Blågårdsgade 21, København N","(12.5582968, 55.68638189999999)",4.7,15,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ50_FeQdTUkYRY4-8QyTji1A,OPERATIONAL,"Blågårdsgade 21, 2200 København, Denmark",27 37 27 07,,,"('1000', '1800'); ('1000', '1800'); ('1000', '1800'); ('1000', '1800'); ('1000', '1800'); ('1000', '1800'); ('1000', '1800')",55.68638189999999,12.5582968,2200,København N,,0,1
1218,Tandoori Masala,"Nørrebrogade 35, København N","(12.5587178, 55.6883549)",4.2,269,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJzwnNVgdTUkYRFijVIu72ioE,OPERATIONAL,"Nørrebrogade 35, 2200 København N, Denmark",35 35 35 27,2.0,http://www.tandoori-masala.dk/,"('1700', '2130'); ('1700', '2130'); ('1700', '2130'); ('1700', '2130'); ('1700', '2130'); ('1700', '2130'); ('1700', '2130')",55.6883549,12.5587178,2200,København N,"[1, 1, 1, 2]",27973469,1
1219,Selfish,"Elmegade 4, København N","(12.5581597, 55.6894691)",4.7,172,"['liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",ChIJzeDoBKpTUkYRBOCBNKHJ3ho,OPERATIONAL,"Elmegade 4, 2200 København, Denmark",35 35 96 26,,http://www.selfish.dk/,,55.6894691,12.5581597,2200,København N,['Elite'],25948882,1
1220,Bindia Indisk Mad Take Away Nørrebro,"Elmegade 6, København N","(12.5582421, 55.6895539)",4.0,68,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJj8DeHKpTUkYRsiobzdMcXrI,OPERATIONAL,"Elmegade 6, 2200 København N, Denmark",35 37 87 37,,https://www.bindia.dk/,"('1600', '2100'); ('1600', '2100'); ('1600', '2100'); ('1600', '2100'); ('1600', '2100'); ('1600', '2100'); ('1600', '2100')",55.6895539,12.5582421,2200,København N,,0,1
1221,Pasta Mania,"Elmegade 6A, København","(12.5583558, 55.6896816)",3.9,91,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJh8vwBapTUkYR0MX_N-UX_Ng,OPERATIONAL,"Elmegade 6A, 2200 København, Denmark",35 35 21 21,,http://www.pastamania.dk/,"('1400', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1400', '2200')",55.6896816,12.5583558,2200,København N,,0,1
1222,La Centrale,"Nørrebrogade 31, København","(12.5590572, 55.6883535)",4.1,41,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJW8E4UgdTUkYRKCq1P8bcZ-U,OPERATIONAL,"Nørrebrogade 31, 2200 København, Denmark",35 37 17 11,1.0,,"('1200', '0000'); ('1030', '0000'); ('1030', '0000'); ('1030', '0000'); ('1030', '0200'); ('1100', '0600'); ('1100', '0600')",55.6883535,12.5590572,2200,København N,,0,1
1223,Nordic Noodle,"Nørrebrogade 29, København","(12.5592959, 55.6883175)",4.3,234,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJUQxOUAdTUkYRZZII0s0kl00,OPERATIONAL,"Nørrebrogade 29, 2200 København, Denmark",35 35 40 00,2.0,https://nordicnoodle.dk/,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",55.6883175,12.5592959,2200,København N,,0,1
1224,GAO Dumpling Bar,"Blågårdsgade 3, København","(12.5599067, 55.6877362)",4.3,368,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJVRNBRwdTUkYRJ0JjMD9n5UI,OPERATIONAL,"Blågårdsgade 3, 2200 København, Denmark",34 12 46 26,,http://gaodumpling.com/,"('1200', '2130'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",55.6877362,12.5599067,2200,København N,['Elite'],37528919,1
