,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,ref
ChIJ48e6LQxTUkYRLE6vPK7nPAg,OPERATIONAL,"Tingvej 30, 2300 København, Denmark",40 23 24 98,,https://luccaspizza2300.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1100', '2340'); ('1330', '2340'); ('1330', '2340'); ('1330', '2340'); ('1330', '2340'); ('1330', '2340'); ('1100', '2340')",ChIJ48e6LQxTUkYRLE6vPK7nPAg
ChIJcUPkPrJTUkYRdwQV9Ly0eYI,OPERATIONAL,"Tingvej 12, 2300 København, Denmark",31 35 54 26,,http://www.thrillainmanila.dk/,,ChIJcUPkPrJTUkYRdwQV9Ly0eYI
ChIJ2_GbI0lTUkYRXoA-pr7o0zQ,OPERATIONAL,"Amagerbrogade 50, 2300 København, Denmark",32 54 68 68,1.0,http://www.dagensmenu.dk/pizzeria/kebabland-2-k%C3%B8benhavn-s?ad-id=2423,"('1200', '0000'); ('1100', '0000'); ('1100', '0000'); ('1100', '0000'); ('1100', '0000'); ('1100', '0200'); ('1100', '0200')",ChIJ2_GbI0lTUkYRXoA-pr7o0zQ
ChIJH1GjAkxTUkYRGlmIbTsLEis,OPERATIONAL,"Amagerbrogade 78, 2300 København, Denmark",32 54 40 02,,https://veneziapasta.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_term=discount&utm_content=10,"('1300', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1300', '2200')",ChIJH1GjAkxTUkYRGlmIbTsLEis
ChIJJ7DL4UhTUkYR_4C0wVQilDY,OPERATIONAL,"Amagerbrogade 44, 2300 København, Denmark",32 97 99 99,2.0,http://www.cctaste.dk/,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",ChIJJ7DL4UhTUkYR_4C0wVQilDY
ChIJyRjb4UhTUkYRWsWdPWs5QDQ,CLOSED_TEMPORARILY,"Amagerbrogade 44, 2300 København, Denmark",,,,,ChIJyRjb4UhTUkYRWsWdPWs5QDQ
ChIJFQqUrE5TUkYRMPhvgUkPIe8,OPERATIONAL,"Amagerbrogade 63, 2300 København, Denmark",32 55 05 03,,http://vagabondos.dk/,"('1600', '0200'); ('1600', '0200'); ('1600', '0200'); ('1600', '0200'); ('1600', '0200'); ('1600', '0500'); ('1600', '0500')",ChIJFQqUrE5TUkYRMPhvgUkPIe8
ChIJv7zP40hTUkYRTLNi1qix_nQ,OPERATIONAL,"2300 Copenhagen, Denmark",,,,,ChIJv7zP40hTUkYRTLNi1qix_nQ
ChIJK-B2HUlTUkYRI7exiGMc2kc,OPERATIONAL,"Amagerbrogade 43, 2300 København, Denmark",32 96 12 34,,https://www.tastygrill.dk/,,ChIJK-B2HUlTUkYRI7exiGMc2kc
ChIJr_shyrFTUkYRmANaTd3ueMA,OPERATIONAL,"Amagerbrogade 40, 2300 København, Denmark",32 65 88 88,,http://www.sushifactory.dk/,"('1500', '2200'); ('1500', '2200'); ('1500', '2200'); ('1500', '2200'); ('1500', '2200'); ('1500', '2200'); ('1500', '2200')",ChIJr_shyrFTUkYRmANaTd3ueMA
ChIJAQBMHUxTUkYRuAYGY9rpKI8,CLOSED_TEMPORARILY,"Amagerbrogade 78, c/o Venezia Pastahouse, 2300 Hovedstaden, Denmark",32 54 40 02,,http://www.veneziapasta.menuen.dk/,,ChIJAQBMHUxTUkYRuAYGY9rpKI8
ChIJYxv2A0lTUkYRW42TKqc2V0g,OPERATIONAL,"Holmbladsgade 5, 2300 København, Denmark",32 96 96 93,1.0,https://smorhulletamager.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1500', '2230'); ('1500', '2230'); ('1500', '2230'); ('1500', '2230'); ('1500', '2230'); ('1500', '2230'); ('1500', '2230')",ChIJYxv2A0lTUkYRW42TKqc2V0g
ChIJaerZ_EhTUkYRalAkPEnRu1g,OPERATIONAL,"Amagerbrogade 41, 2300 København, Denmark",32 95 02 76,,https://www.ths.dk/,"('0900', '1600'); ('0800', '1800'); ('0800', '1800'); ('0800', '1800'); ('0800', '1800'); ('0800', '1900'); ('0800', '1800')",ChIJaerZ_EhTUkYRalAkPEnRu1g
